Admiral                      ,Pellet    ,14.4  ,Boil
Ahtanum                      ,Pellet    ,5.4   ,Boil
Amarillo                     ,Pellet    ,8.6   ,Boil
Apollo                       ,Plug      ,18.9  ,Boil
Aquila                       ,Leaf/Whole,6.7   ,Boil
Aurora                       ,Pellet    ,8.5   ,Boil
Azacca                       ,Pellet    ,13.6  ,Boil
B. C. Goldings               ,Pellet    ,5.1   ,Boil
Banner                       ,Pellet    ,11.1  ,Boil
Belma                        ,Leaf/Whole,10.5  ,First Wort
Bramling Cross               ,Pellet    ,6.4   ,Boil
Bravo                        ,Pellet    ,15.1  ,Dry Hop
Brewers Gold                ,Leaf/Whole,8.6   ,Boil
Bullion                      ,Leaf/Whole,8.1   ,Boil
Calypso                      ,Pellet    ,13.4  ,Boil
Cascade                      ,Pellet    ,6.9   ,Boil
Centennial                   ,Pellet    ,9.8   ,Aroma
Challenger                   ,Pellet    ,8     ,Boil
Chinook                      ,Pellet    ,12.7  ,Boil
Citra                        ,Pellet    ,11.8  ,Dry Hop
Cluster                      ,Pellet    ,6.8   ,Boil
Columbia                     ,Pellet    ,9.7   ,Boil
Columbus                     ,Pellet    ,14.9  ,Boil
Comet                        ,Leaf/Whole,10.5  ,Boil
Crystal                      ,Plug      ,4.2   ,Aroma
CTZ                          ,Pellet    ,15.5  ,Boil
Domestic Hallertau           ,Pellet    ,4     ,Boil
Dr. Rudi                     ,Leaf/Whole,11.3  ,Boil
East Kent Goldings           ,Pellet    ,5.2   ,Boil
Ekuanot                      ,Pellet    ,14.4  ,Boil
El Dorado                    ,Leaf/Whole,15    ,Boil
Ella                         ,Pellet    ,14.7  ,Boil
Eroica                       ,Leaf/Whole,12    ,Boil
Falconers Flight            ,Pellet    ,10.2  ,Dry Hop
First Gold                   ,Leaf/Whole,7.7   ,Boil
Fuggles                      ,Pellet    ,4.6   ,Boil
Galaxy                       ,Leaf/Whole,14.5  ,Boil
Galena                       ,Pellet    ,13    ,Boil
Glacier                      ,Pellet    ,5.5   ,Boil
Goldings                     ,Leaf/Whole,4.7   ,Boil
Green Bullet                 ,Pellet    ,12    ,Boil
Hallertau Blanc              ,Pellet    ,9.4   ,Boil
Hallertau Hersbrucker        ,Plug      ,3.8   ,Boil
Hallertau Mittelfruh         ,Pellet    ,3.8   ,Boil
Hallertau Tradition (Germany),Pellet    ,5.2   ,Boil
Herald                       ,Pellet    ,12.3  ,Boil
Hersbrucker                  ,Pellet    ,3.4   ,Boil
Horizon                      ,Pellet    ,12    ,Boil
Huell Melon                  ,Leaf/Whole,6.8   ,Boil
Huller Bitterer              ,Pellet    ,5.8   ,Boil
Jarrylo                      ,Pellet    ,14.8  ,Boil
Kent Goldings                ,Pellet    ,5.2   ,Boil
Kohatu                       ,Pellet    ,6.7   ,Boil
Lemondrop                    ,Pellet    ,5.7   ,Boil
Liberty                      ,Leaf/Whole,4.2   ,Boil
Loral                        ,Pellet    ,11.4  ,Boil
Lublin                       ,Pellet    ,4.2   ,Dry Hop
Magnum                       ,Pellet    ,13.9  ,Boil
Mandarina Bavaria            ,Leaf/Whole,8.2   ,First Wort
Medusa                       ,Pellet    ,4.1   ,Whirlpool
Meridian                     ,Pellet    ,6     ,Boil
Millenium                    ,Pellet    ,15.8  ,Boil
Monroe                       ,Pellet    ,3.4   ,Boil
Mosaic                       ,Leaf/Whole,12.3  ,First Wort
Motueka                      ,Pellet    ,7     ,Boil
Mount Hood                   ,Pellet    ,5.1   ,Boil
Mount Rainier                ,Pellet    ,6.2   ,Boil
Moutere                      ,Pellet    ,17.6  ,Boil
Nelson Sauvin                ,Pellet    ,12.1  ,Boil
Newport                      ,Leaf/Whole,13.4  ,Boil
Northdown                    ,Leaf/Whole,8.3   ,Boil
Northern Brewer              ,Pellet    ,8.1   ,Boil
Nugget                       ,Pellet    ,13.6  ,Boil
Olympic                      ,Pellet    ,12    ,Boil
Omega                        ,Pellet    ,10    ,Boil
Opal                         ,Leaf/Whole,7.2   ,Boil
Orion                        ,Pellet    ,7     ,Boil
Pacific Gem                  ,Pellet    ,14.9  ,Boil
Pacific Jade                 ,Pellet    ,11.4  ,Boil
Pacifica                     ,Pellet    ,5.2   ,Boil
Palisade                     ,Pellet    ,7.6   ,Boil
Perle                        ,Leaf/Whole,7.8   ,Boil
Phoenix                      ,Pellet    ,10.5  ,Boil
Pilgrim                      ,Leaf/Whole,10.3  ,Boil
Pioneer                      ,Pellet    ,8.8   ,Boil
Pride of Ringwood            ,Pellet    ,9.8   ,Boil
Progress                     ,Leaf/Whole,6.3   ,Boil
Rakau                        ,Pellet    ,10.7  ,Boil
Record                       ,Leaf/Whole,6.3   ,Boil
Riwaka                       ,Pellet    ,5.4   ,Dry Hop
Saaz                         ,Pellet    ,3.5   ,Boil
Santiam                      ,Pellet    ,6.4   ,Boil
Saphir                       ,Leaf/Whole,4     ,Aroma
Satus                        ,Pellet    ,12.5  ,Boil
Simcoe                       ,Pellet    ,12.7  ,Boil
Sonnet                       ,Leaf/Whole,4.6   ,Boil
Sorachi Ace                  ,Pellet    ,11.6  ,Boil
Southern Cross               ,Leaf/Whole,12.9  ,Aroma
Sovereign                    ,Pellet    ,5.5   ,Boil
Spalt                        ,Pellet    ,4.2   ,Boil
Spalter Select (Germany)     ,Pellet    ,3.8   ,Boil
Sterling                     ,Leaf/Whole,8.3   ,Boil
Sticklebract                 ,Pellet    ,11.8  ,Boil
Strisselspalt                ,Pellet    ,3     ,Aroma
Styrian Goldings             ,Pellet    ,4.8   ,Boil
Summer                       ,Pellet    ,6.2   ,Boil
Summit                       ,Pellet    ,17.4  ,Boil
Super Alpha                  ,Pellet    ,12.6  ,Boil
Super Styrians               ,Pellet    ,9.2   ,Boil
Taiheke                      ,Pellet    ,7.1   ,Boil
Talisman                     ,Pellet    ,8     ,Boil
Target                       ,Pellet    ,10.8  ,Boil
Tettnanger                   ,Pellet    ,4.2   ,Boil
Tomahawk                     ,Leaf/Whole,15.3  ,Boil
Topaz                        ,Pellet    ,15.7  ,Boil
Ultra                        ,Pellet    ,6     ,First Wort
Vanguard                     ,Pellet    ,5.1   ,Boil
Vic Secret                   ,Pellet    ,16.6  ,Boil
Wai-iti                      ,Pellet    ,3.1   ,Boil
Waimea                       ,Pellet    ,16.4  ,Dry Hop
Wakatu                       ,Pellet    ,7.3   ,Boil
Warrior                      ,Pellet    ,16    ,Boil
Whitbread Golding            ,Pellet    ,6.3   ,Boil
Willamette                   ,Leaf/Whole,4.7   ,Boil
Wye Challenger               ,Leaf/Whole,8.4   ,Boil
Wye Target                   ,Leaf/Whole,10.2  ,Boil
Yakima Cluster               ,Leaf/Whole,7.4   ,Boil
Yamhill Goldings             ,Pellet    ,4.2   ,Aroma
Yeoman                       ,Leaf/Whole,7.5   ,Whirlpool
Zappa                        ,Pellet    ,6.5   ,Whirlpool
Zenith                       ,Leaf/Whole,8.6   ,Boil
Zeus                         ,Leaf/Whole,15.4  ,Boil
Zythos                       ,Pellet    ,10.6  ,Boil