Altbier                         ,Amber Bitter European Lager  ,7B ,25   ,50 ,4,6 ,1.008,1.014,2.16,3.09,14
Alternative Grain Beer          ,Alternative Fermentables Beer,31A,0    ,0  ,0,0 ,0    ,0    ,0   ,0   ,0
Alternative Sugar Beer          ,Alternative Fermentables Beer,31B,0    ,0  ,0,0 ,0    ,0    ,0   ,0   ,0
American Amber Ale              ,Amber and Brown American Beer,19A,25   ,40 ,5,6 ,1.01 ,1.015,2.26,2.78,14
American Barleywine             ,Strong American Ale          ,22C,50   ,100,8,12,1.016,1.03 ,1.3 ,2.3 ,15
American Brown Ale              ,Amber and Brown American Beer,19C,20   ,30 ,4,6 ,1.01 ,1.016,2.26,2.78,27
American IPA                    ,IPA                          ,21A,40   ,70 ,6,8 ,1.008,1.014,2   ,2.5 ,10
American Lager                  ,Standard American Beer       ,1B ,8    ,12 ,4,5 ,1.004,1.01 ,2.57,2.73,3
American Light Lager            ,Standard American Beer       ,1A ,8    ,12 ,3,4 ,0.998,1.008,2.57,2.73,3
American Pale Ale               ,Pale American Ale            ,18B,30   ,50 ,5,6 ,1.01 ,1.015,2.26,2.78,8
American Porter                 ,American Porter and Stout    ,20A,25   ,50 ,5,7 ,1.012,1.018,2.5 ,3   ,31
American Stout                  ,American Porter and Stout    ,20B,35   ,75 ,5,7 ,1.01 ,1.022,2.5 ,3   ,35
American Strong Ale             ,Strong American Ale          ,22B,50   ,100,6,10,1.014,1.024,2   ,2.25,13
American Wheat Beer             ,Standard American Beer       ,1D ,15   ,30 ,4,6 ,1.008,1.013,2.3 ,2.6 ,5
Australian Sparkling Ale        ,Pale Commonwealth Beer       ,12B,20   ,35 ,5,6 ,1.004,1.006,3.5 ,3.5 ,6
Autumn Seasonal Beer            ,Spiced Beer                  ,30B,0    ,0  ,5,0 ,0    ,0    ,0   ,0   ,0
Baltic Porter                   ,Strong European Beer         ,9C ,20   ,40 ,7,10,1.016,1.024,2.2 ,2.2 ,24
Belgian Blond Ale               ,Strong Belgian Ale           ,25A,15   ,30 ,6,8 ,1.008,1.018,3   ,4   ,6
Belgian Dark Strong Ale         ,Trappist Ale                 ,26D,20   ,35 ,8,12,1.01 ,1.024,3.3 ,4   ,17
Belgian Dubbel                  ,Trappist Ale                 ,26B,15   ,25 ,6,8 ,1.008,1.018,3   ,4   ,14
Belgian Golden Strong Ale       ,Strong Belgian Ale           ,25C,22   ,35 ,8,11,1.005,1.016,3   ,4   ,5
Belgian Pale Ale                ,Belgian Ale                  ,24B,20   ,30 ,5,6 ,1.01 ,1.014,2.5 ,2.5 ,11
Belgian Tripel                  ,Trappist Ale                 ,26C,20   ,40 ,8,10,1.008,1.014,3   ,4   ,6
Berliner Weisse                 ,European Sour Ale            ,23A,3    ,8  ,3,4 ,1.003,1.006,3.5 ,4   ,3
Best Bitter                     ,British Bitter               ,11B,25   ,40 ,4,5 ,1.008,1.012,0.75,1.3 ,12
Biere de Garde                  ,Belgian Ale                  ,24C,18   ,28 ,6,9 ,1.008,1.016,3.3 ,3.3 ,13
Blonde Ale                      ,Pale American Ale            ,18A,15   ,28 ,4,6 ,1.008,1.013,2.3 ,2.6 ,5
Brett Beer                      ,American Wild Ale            ,28A,0    ,0  ,0,0 ,0    ,0    ,1.5 ,3.5 ,0
British Brown Ale               ,Brown British Beer           ,13B,20   ,30 ,4,5 ,1.008,1.013,1.5 ,2.3 ,17
British Golden Ale              ,Pale Commonwealth Beer       ,12A,20   ,45 ,4,5 ,1.006,1.012,1.5 ,2.3 ,4
British Strong Ale              ,Strong British Ale           ,17A,30   ,60 ,6,8 ,1.015,1.022,1.5 ,2.3 ,15
Burton Ale                      ,Strong British Ale           ,17A,40   ,50 ,5,8 ,1.018,1.024,1.5 ,2.3 ,18
California Common               ,Amber and Brown American Beer,19B,30   ,45 ,5,6 ,1.011,1.014,2.4 ,2.8 ,12
Catharina Sour                  ,Sour Ale                     ,4X ,2    ,8  ,4,6 ,1.002,1.008,1.5 ,2.3 ,5
Classic Style Smoked Beer       ,Smoked Beer                  ,32A,0    ,0  ,0,0 ,0    ,0    ,2.16,2.57,0
Clone Beer                      ,Specialty Beer               ,34A,0    ,0  ,0,0 ,0    ,0    ,0   ,0   ,0
Cream Ale                       ,Standard American Beer       ,1C ,8    ,20 ,4,6 ,1.006,1.012,2.6 ,2.7 ,4
Czech Amber Lager               ,Czech Lager                  ,3C ,20   ,35 ,4,6 ,1.013,1.017,2   ,2.5 ,13
Czech Dark Lager                ,Czech Lager                  ,3D ,18   ,34 ,4,6 ,1.013,1.017,2   ,2.5 ,25
Czech Pale Lager                ,Czech Lager                  ,3A ,20   ,35 ,3,4 ,1.008,1.014,2   ,2.5 ,5
Czech Premium Pale Lager        ,Czech Lager                  ,3B ,30   ,45 ,4,6 ,1.013,1.017,2   ,2.5 ,5
Dark Mild                       ,Brown British Beer           ,13A,10   ,25 ,3,4 ,1.008,1.013,1.3 ,2   ,19
Doppelbock                      ,Strong European Beer         ,9A ,16   ,26 ,7,10,1.016,1.024,2.26,2.62,16
Double IPA                      ,Strong American Ale          ,22A,60   ,120,8,10,1.008,1.018,2   ,2.5 ,10
Dunkles Bock                    ,Amber Malty European Lager   ,6C ,20   ,27 ,6,7 ,1.013,1.019,2.4 ,2.4 ,18
Dunkles Weissbier               ,German Wheat Beer            ,10B,44122,0  ,4,6 ,1.01 ,1.014,3.6 ,4.48,19
Eisbock                         ,Strong European Beer         ,9B ,25   ,35 ,9,14,1.02 ,1.035,2.37,2.37,24
English Barleywine              ,Strong British Ale           ,17D,35   ,70 ,8,12,1.018,1.03 ,1.3 ,2.3 ,15
English IPA                     ,Pale Commonwealth Beer       ,12C,40   ,60 ,5,8 ,1.01 ,1.018,1.5 ,2.3 ,10
English Porter                  ,Brown British Beer           ,13C,18   ,35 ,4,5 ,1.008,1.014,1.7 ,2.5 ,25
Experimental Beer               ,Specialty Beer               ,34C,0    ,0  ,0,0 ,0    ,0    ,0   ,0   ,0
Festbier                        ,Pale Malty European Lager    ,4B ,18   ,25 ,6,6 ,1.01 ,1.012,2.57,2.73,6
Flanders Red Ale                ,European Sour Ale            ,23B,10   ,25 ,5,7 ,1.002,1.012,2   ,2.5 ,13
Foreign Extra Stout             ,Dark British Beer            ,16D,50   ,70 ,6,8 ,1.01 ,1.018,2.3 ,2.6 ,35
Fruit and Spice Beer            ,Fruit Beer                   ,29B,0    ,0  ,0,0 ,0    ,0    ,2   ,3   ,0
Fruit Beer                      ,Fruit Beer                   ,29A,0    ,0  ,0,0 ,0    ,0    ,2   ,3   ,0
Fruit Lambic                    ,European Sour Ale            ,23F,0    ,10 ,5,7 ,1    ,1.01 ,2.6 ,4.5 ,5
German Helles Exportbier        ,Pale Bitter European Beer    ,5C ,20   ,30 ,5,6 ,1.01 ,1.015,2.16,2.73,6
German Leichtbier               ,Pale Bitter European Beer    ,5A ,15   ,28 ,2,4 ,1.006,1.01 ,2.16,2.73,4
German Pils                     ,Pale Bitter European Beer    ,5D ,22   ,40 ,4,5 ,1.008,1.013,2.3 ,2.5 ,4
Gose                            ,Historical Beer              ,27 ,5    ,12 ,4,5 ,1.006,1.01 ,2.2 ,2.5 ,4
Gueuze                          ,European Sour Ale            ,23E,0    ,10 ,5,8 ,1    ,1.006,3   ,4.5 ,5
Helles Bock                     ,Pale Malty European Lager    ,4C ,23   ,35 ,6,7 ,1.011,1.018,2.16,2.73,9
Imperial Stout                  ,American Porter and Stout    ,20C,50   ,90 ,8,12,1.018,1.03 ,1.5 ,2.3 ,35
International Amber Lager       ,International Lager          ,2B ,8    ,25 ,5,6 ,1.008,1.014,2.5 ,2.5 ,11
International Dark Lager        ,International Lager          ,2C ,8    ,25 ,4,6 ,1.008,1.012,2.21,2.66,18
International Pale Lager        ,International Lager          ,2A ,18   ,25 ,5,6 ,1.008,1.012,2   ,2.5 ,4
Irish Extra Stout               ,Irish Beer                   ,15C,35   ,50 ,6,7 ,1.01 ,1.014,2.3 ,2.6 ,33
Irish Red Ale                   ,Irish Beer                   ,15A,18   ,28 ,4,5 ,1.01 ,1.014,2   ,2.5 ,12
Irish Stout                     ,Irish Beer                   ,15B,25   ,45 ,4,5 ,1.007,1.011,1   ,1.5 ,33
Kellerbier: Amber Kellerbier    ,Amber Bitter European Lager  ,7C ,25   ,40 ,5,5 ,1.012,1.016,2.16,4.09,12
Kellerbier: Pale Kellerbier     ,Amber Bitter European Lager  ,7C ,20   ,35 ,5,5 ,1.008,1.012,2.16,4.09,5
Kentucky Common                 ,Historical Beer              ,27 ,15   ,30 ,4,6 ,1.01 ,1.018,2.2 ,2.5 ,16
Kolsch                          ,Pale Bitter European Beer    ,5B ,18   ,30 ,4,5 ,1.007,1.011,2.42,2.73,4
Lambic                          ,European Sour Ale            ,23D,0    ,10 ,5,7 ,1.001,1.01 ,3   ,4.45,5
Lichtenhainer                   ,Historical Beer              ,27 ,5    ,12 ,4,5 ,1.004,1.008,2.2 ,2.5 ,5
London Brown Ale                ,Historical Beer              ,27 ,15   ,20 ,3,4 ,1.012,1.015,2.2 ,2.5 ,29
Marzen                          ,Amber Malty European Lager   ,6A ,18   ,24 ,6,6 ,1.01 ,1.014,2.57,2.73,13
Mixed-Fermentation Sour Beer    ,American Wild Ale            ,28B,0    ,0  ,0,0 ,0    ,0    ,1.5 ,3.5 ,0
Mixed-Style Beer                ,Specialty Beer               ,34B,0    ,0  ,0,0 ,0    ,0    ,0   ,0   ,0
Munich Dunkel                   ,Dark European Lager          ,8A ,18   ,28 ,5,6 ,1.01 ,1.016,2.21,2.66,21
Munich Helles                   ,Pale Malty European Lager    ,4A ,16   ,22 ,5,5 ,1.006,1.012,2.26,2.68,4
New Zealand Pilsner             ,Pilsner                      ,5X ,25   ,45 ,5,6 ,1.009,1.014,2   ,2.5 ,5
Oatmeal Stout                   ,Dark British Beer            ,16B,25   ,40 ,4,6 ,1.01 ,1.018,2   ,2.4 ,31
Old Ale                         ,Strong British Ale           ,17B,30   ,60 ,6,9 ,1.015,1.022,1.5 ,2.3 ,16
Ordinary Bitter                 ,British Bitter               ,11A,25   ,35 ,3,4 ,1.007,1.011,0.75,1.3 ,11
Oud Bruin                       ,European Sour Ale            ,23C,20   ,25 ,4,8 ,1.008,1.012,2   ,2.5 ,19
Piwo Grodziskie                 ,Historical Beer              ,27 ,20   ,35 ,3,3 ,1.006,1.012,2.2 ,2.5 ,5
Pre-Prohibition Lager           ,Historical Beer              ,27 ,25   ,40 ,5,6 ,1.01 ,1.015,2.2 ,2.5 ,5
Pre-Prohibition Porter          ,Historical Beer              ,27 ,20   ,30 ,5,6 ,1.01 ,1.016,2.2 ,2.5 ,24
Rauchbier                       ,Amber Malty European Lager   ,6B ,20   ,30 ,5,6 ,1.012,1.016,2.16,2.57,17
Roggenbier                      ,Historical Beer              ,27 ,10   ,20 ,5,6 ,1.01 ,1.014,2.2 ,2.5 ,17
Sahti                           ,Historical Beer              ,27 ,7    ,15 ,7,11,1.016,1.02 ,2.2 ,2.5 ,13
Saison                          ,Strong Belgian Ale           ,25B,20   ,35 ,5,7 ,1.002,1.008,3   ,3.5 ,14
Schwarzbier                     ,Dark European Lager          ,8B ,20   ,30 ,4,5 ,1.01 ,1.016,2.2 ,2.6 ,24
Scottish Export                 ,Scottish Ale                 ,14C,15   ,30 ,4,6 ,1.01 ,1.016,0.75,1.3 ,18
Scottish Heavy                  ,Scottish Ale                 ,14B,10   ,20 ,3,4 ,1.01 ,1.015,0.75,1.3 ,18
Scottish Light                  ,Scottish Ale                 ,14A,10   ,20 ,3,3 ,1.01 ,1.013,0.75,1.3 ,20
Specialty Fruit Beer            ,Fruit Beer                   ,29C,0    ,0  ,0,0 ,0    ,0    ,2.2 ,2.5 ,0
Specialty IPA: Belgian IPA      ,IPA                          ,21B,50   ,100,6,10,1.008,1.016,2.2 ,2.5 ,10
Specialty IPA: Black IPA        ,IPA                          ,21B,50   ,90 ,6,9 ,1.01 ,1.018,2.2 ,2.5 ,33
Specialty IPA: Brown IPA        ,IPA                          ,21B,40   ,70 ,6,8 ,1.008,1.016,2.2 ,2.5 ,15
Specialty IPA: New England IPA  ,IPA                          ,21B,25   ,60 ,6,9 ,1.01 ,1.015,2.2 ,2.5 ,5
Specialty IPA: Red IPA          ,IPA                          ,21B,40   ,70 ,6,8 ,1.008,1.016,2.2 ,2.5 ,15
Specialty IPA: Rye IPA          ,IPA                          ,21B,50   ,75 ,6,8 ,1.008,1.014,2.2 ,2.5 ,10
Specialty IPA: White IPA        ,IPA                          ,21B,40   ,70 ,6,7 ,1.01 ,1.016,2.2 ,2.5 ,7
Specialty Smoked Beer           ,Smoked Beer                  ,32B,0    ,0  ,0,0 ,0    ,0    ,2.16,2.57,0
Specialty Wood-Aged Beer        ,Wood Beer                    ,33B,0    ,0  ,0,0 ,0    ,0    ,2.2 ,2.5 ,0
Spice Herb or Vegetable Beer    ,Spiced Beer                  ,30A,0    ,0  ,0,0 ,0    ,0    ,2   ,3   ,0
Strong Bitter                   ,British Bitter               ,11C,30   ,50 ,5,6 ,1.01 ,1.016,0.75,1.3 ,13
Sweet Stout                     ,Dark British Beer            ,16A,20   ,40 ,4,6 ,1.012,1.024,2   ,2.4 ,35
Trappist Single                 ,Trappist Ale                 ,26A,25   ,45 ,5,6 ,1.004,1.01 ,3   ,3.5 ,4
Tropical Stout                  ,Dark British Beer            ,16C,30   ,50 ,6,8 ,1.01 ,1.018,2.3 ,2.6 ,35
Vienna Lager                    ,Amber Bitter European Lager  ,7A ,18   ,30 ,5,6 ,1.01 ,1.014,2   ,2.5 ,12
Wee Heavy                       ,Strong British Ale           ,17C,17   ,35 ,7,10,1.018,1.04 ,1.5 ,2.3 ,20
Weissbier                       ,German Wheat Beer            ,10A,8    ,15 ,4,6 ,1.01 ,1.014,3.6 ,4.48,4
Weizenbock                      ,German Wheat Beer            ,10C,15   ,30 ,7,9 ,1.015,1.022,2.3 ,2.6 ,16
Wheatwine                       ,Strong American Ale          ,22D,30   ,60 ,8,12,1.016,1.03 ,0   ,0   ,12
Wild Specialty Beer             ,American Wild Ale            ,28C,0    ,0  ,0,0 ,0    ,0    ,0   ,0   ,0
Winter Seasonal Beer            ,Spiced Beer                  ,30C,0    ,0  ,6,0 ,0    ,0    ,0   ,0   ,0
Witbier                         ,Belgian Ale                  ,24A,8    ,20 ,5,6 ,1.008,1.012,2   ,2.4 ,3
Wood-Aged Beer                  ,Wood Beer                    ,33A,0    ,0  ,0,0 ,0    ,0    ,0   ,0   ,0